Sample,DateCollected,Transect,Quadrat,SlopeFace,Habitat,Vine,Diam-mm,Rings,RecruitYr,Alive,Ladder,Entwined,GSPrecip_cm
Aa0,2023-11-28,A,Aa,north,LawnEdge,0,NA,NA,NA,NA,NA,NA,NA
Ab0,2023-11-28,A,Ab,north,LawnEdge,0,NA,NA,NA,NA,NA,NA,NA
Ac1,2023-11-28,A,Ac,north,LawnEdge,1,12,2,2022,yes,pine,no,71.2
Ac2,2023-11-28,A,Ac,north,LawnEdge,1,11,2,2022,yes,pine,no,71.2
Ad0,2023-11-28,A,Ad,north,LawnEdge,0,NA,NA,NA,NA,NA,NA,NA
Ae0,2023-11-28,A,Ae,north,LawnEdge,0,NA,NA,NA,NA,NA,NA,NA
Af1,2023-11-28,A,Af,north,LawnEdge,1,18,11,2013,yes,pine,yes,78.1
Af2,2023-11-28,A,Af,north,LawnEdge,1,12,1,2023,yes,pine,no,102.5
Af3,2023-11-28,A,Af,north,LawnEdge,1,14,6,2018,yes,pine,yes,87.3
Ba1,2023-12-01,B,Ba,south,BroadWoods,1,7,1,2023,yes,oak,no,102.5
Ba2,2023-12-01,B,Ba,south,BroadWoods,1,6,1,2023,yes,none,no,102.5
Bb0,2023-12-01,B,Bb,south,BroadWoods,0,NA,NA,NA,NA,NA,NA,NA
Bc0,2023-12-01,B,Bc,south,BroadWoods,0,NA,NA,NA,NA,NA,NA,NA
Bd1,2023-12-01,B,Bd,south,BroadWoods,1,8,1,2020,no,none,yes,52.7
Bd2,2023-12-01,B,Bd,south,BroadWoods,1,15,3,2018,no,none,yes,87.3
Bd3,2023-12-01,B,Bd,south,BroadWoods,1,8,2,2019,no,none,yes,81.9
Bd4,2023-12-01,B,Bd,south,BroadWoods,1,8,2,2019,no,none,yes,81.9
Be0,2023-12-08,B,Be,south,BroadWoods,0,NA,NA,NA,NA,NA,NA,NA
Bf1,2023-12-08,B,Bf,south,BroadWoods,1,5,1,2023,yes,oak,no,102.5
Bf2,2023-12-08,B,Bf,south,BroadWoods,1,1,1,2023,no,none,no,102.5
Ca1,2023-12-21,C,Ca,south,DrainageSwale,1,6,1,2023,yes,bittersweet,yes,102.5
Ca2,2023-12-21,C,Ca,south,DrainageSwale,1,2,1,2023,yes,bittersweet,yes,102.5
Ca3,2023-12-21,C,Ca,south,DrainageSwale,1,2,1,2023,yes,bittersweet,yes,102.5
Ca4,2023-12-21,C,Ca,south,DrainageSwale,1,3,1,2023,yes,bittersweet,yes,102.5
Ca5,2023-12-21,C,Ca,south,DrainageSwale,1,4,2,2022,yes,bittersweet,yes,71.2
Ca6,2023-12-21,C,Ca,south,DrainageSwale,1,2,1,2023,yes,bittersweet,yes,102.5
Ca7,2023-12-21,C,Ca,south,DrainageSwale,1,3,1,2023,yes,bittersweet,yes,102.5
Ca8,2023-12-21,C,Ca,south,DrainageSwale,1,3,1,2023,yes,bittersweet,yes,102.5
Ca9,2023-12-21,C,Ca,south,DrainageSwale,1,4,1,2023,yes,bittersweet,yes,102.5
Ca10,2023-12-21,C,Ca,south,DrainageSwale,1,9,3,2023,yes,cattail,yes,102.5
Ca11,2023-12-21,C,Ca,south,DrainageSwale,1,9,2,2022,yes,cattail,yes,71.2
Ca12,2023-12-21,C,Ca,south,DrainageSwale,1,6,2,2021,no,aster,no,93.5
Cb0,2023-12-21,C,Cb,south,DrainageSwale,0,NA,NA,NA,NA,NA,NA,NA
Cc0,2023-12-21,C,Cc,south,DrainageSwale,0,NA,NA,NA,NA,NA,NA,NA
Cd0,2023-12-21,C,Cd,south,DrainageSwale,0,NA,NA,NA,NA,NA,NA,NA
Ce0,2023-12-21,C,Ce,south,DrainageSwale,0,NA,NA,NA,NA,NA,NA,NA
Cf0,2023-12-21,C,Cf,south,DrainageSwale,0,NA,NA,NA,NA,NA,NA,NA
