Date,MaxTemp,MinTemp,AvgTemp,DepartureTemp,HDD,CDD,Precip,NewSnow,SnowDepth
2013-03-01,44,30,37,7.4,28,0,T,T,9
2013-03-02,45,27,36,6.1,29,0,T,T,8
2013-03-03,42,30,36,5.8,29,0,0.08,T,8
2013-03-04,40,28,34,3.6,31,0,0,0,8
2013-03-05,43,28,35.5,4.8,29,0,T,0,7
2013-03-06,41,33,37,6,28,0,0.07,T,6
2013-03-07,34,31,32.5,1.2,32,0,T,T,M
2013-03-08,45,28,36.5,4.9,28,0,0.32,M,M
2013-03-09,49,30,39.5,7.6,25,0,0,0,8
2013-03-10,41,21,31,-1.2,34,0,0,0,M
2013-03-11,M,M,M,M,M,M,S,M,M
2013-03-12,M,M,M,M,M,M,M,M,M
2013-03-13,53,27,40,6.8,25,0,0.34A,0,T
2013-03-14,45,24,34.5,1,30,0,0,0,T
2013-03-15,40,17,28.5,-5.3,36,0,0,0,T
2013-03-16,40,20,30,-4.1,35,0,0.06,T,T
2013-03-17,35,17,26,-8.5,39,0,0,0,T
2013-03-18,37,10,23.5,-11.3,41,0,0,0,T
2013-03-19,M,M,M,M,M,M,S,M,M
2013-03-20,37,22,29.5,-6,35,0,1.00A,9.2,9
2013-03-21,40,12,26,-9.8,39,0,0,0,8
2013-03-22,40,24,32,-4.2,33,0,0,0,7
2013-03-23,43,24,33.5,-3.1,31,0,0,0,6
2013-03-24,47,30,38.5,1.6,26,0,0,0,5
2013-03-25,46,24,35,-2.3,30,0,0,0,3
2013-03-26,50,28,39,1.3,26,0,0,0,1
2013-03-27,53,25,39,1,26,0,0,0,T
2013-03-28,51,34,42.5,4.1,22,0,0.02,0,T
2013-03-29,57,32,44.5,5.7,20,0,0,0,0
2013-03-30,56,33,44.5,5.3,20,0,0,0,0
2013-03-31,56,M,M,M,M,M,0,0,0
2013-04-01,M,M,M,M,M,M,S,0,0
2013-04-02,59,28,43.5,3.1,21,0,0.54A,T,0
2013-04-03,M,M,M,M,M,M,0,0,0
2013-04-04,55,26,40.5,-0.7,24,0,0,0,0
2013-04-05,61,37,49,7.4,16,0,0,0,0
2013-04-06,58,28,43,1,22,0,0,0,0
2013-04-07,56,22,39,-3.4,26,0,0,0,0
2013-04-08,63,34,48.5,5.6,16,0,0,0,0
2013-04-09,63,41,52,8.7,13,0,0.09,0,0
2013-04-10,63,43,53,9.3,12,0,0.21,0,0
2013-04-11,58,43,50.5,6.4,14,0,0.3,0,0
2013-04-12,49,33,41,-3.5,24,0,0.39,T,0
2013-04-13,53,33,43,-1.9,22,0,0.15,0,0
2013-04-14,54,38,46,0.7,19,0,0.01,0,0
2013-04-15,54,27,40.5,-5.2,24,0,0,0,0
2013-04-16,66,29,47.5,1.4,17,0,0,0,0
2013-04-17,67,49,58,11.5,7,0,0,0,0
2013-04-18,63,30,46.5,-0.4,18,0,0,0,0
2013-04-19,77,49,63,15.7,2,0,T,0,0
2013-04-20,74,43,58.5,10.8,6,0,0.32,0,0
2013-04-21,57,33,45,-3.1,20,0,0,0,0
2013-04-22,52,26,39,-9.5,26,0,0,0,0
2013-04-23,48,31,39.5,-9.4,25,0,T,0,0
2013-04-24,69,38,53.5,4.2,11,0,0.02,0,0
2013-04-25,M,M,M,M,M,M,0.02,0,0
2013-04-26,65,30,47.5,-2.5,17,0,0,0,0
2013-04-27,63,31,47,-3.4,18,0,0,0,0
2013-04-28,66,33,49.5,-1.2,15,0,0,0,0
2013-04-29,68,36,52,1,13,0,0,0,0
2013-04-30,69,35,52,0.6,13,0,0,0,0
2013-05-01,69,32,50.5,-1.2,14,0,0,0,0
2013-05-02,75,36,55.5,3.5,9,0,T,0,0
2013-05-03,60,35,47.5,-4.9,17,0,0,0,0
2013-05-04,60,31,45.5,-7.2,19,0,0,0,0
2013-05-05,61,30,45.5,-7.5,19,0,0,0,0
2013-05-06,64,29,46.5,-6.8,18,0,0,0,0
2013-05-07,74,42,58,4.4,7,0,0,0,0
2013-05-08,76,45,60.5,6.6,4,0,0,0,0
2013-05-09,71,54,62.5,8.3,2,0,0.45,0,0
2013-05-10,76,54,65,10.5,0,0,T,0,0
2013-05-11,74,51,62.5,7.7,2,0,0.08,0,0
2013-05-12,70,57,63.5,8.4,1,0,0.22,0,0
2013-05-13,70,41,55.5,0.2,9,0,0,0,0
2013-05-14,58,33,45.5,-10.1,19,0,0,0,0
2013-05-15,64,31,47.5,-8.4,17,0,0.04,0,0
2013-05-16,79,40,59.5,3.3,5,0,0,0,0
2013-05-17,80,49,64.5,8,0,0,0,0,0
2013-05-18,M,M,M,M,M,M,0,0,0
2013-05-19,70,40,55,-2,10,0,0,0,0
2013-05-20,79,50,64.5,7.2,0,0,0.14,0,0
2013-05-21,77,54,65.5,7.9,0,1,0.02,0,0
2013-05-22,57,48,52.5,-5.3,12,0,0.97,0,0
2013-05-23,60,49,54.5,-3.6,10,0,0.04,0,0
2013-05-24,72,60,66,7.6,0,1,1.64,0,0
2013-05-25,61,47,54,-4.7,11,0,0.88,0,0
2013-05-26,M,M,M,M,M,M,0.41,0,0
2013-05-27,70,36,53,-6.3,12,0,0,0,0
2013-05-28,70,37,53.5,-6.1,11,0,0,0,0
2013-05-29,68,47,57.5,-2.4,7,0,0.16,0,0
2013-05-30,88,54,71,10.8,0,6,0.08,0,0
2013-05-31,94,58,76,15.5,0,11,0,0,0
2013-06-01,94,62,78,17.2,0,13,0,0,0
2013-06-02,91,67,79,17.9,0,14,0,0,0
2013-06-03,89,63,76,14.6,0,11,0.46,0,0
2013-06-04,78,51,64.5,2.8,0,0,0,0,0
2013-06-05,74,45,59.5,-2.5,5,0,0,0,0
2013-06-06,72,51,61.5,-0.8,3,0,0,0,0
2013-06-07,66,52,59,-3.6,6,0,0.4,0,0
2013-06-08,75,50,62.5,-0.5,2,0,1.55,0,0
2013-06-09,79,50,64.5,1.2,0,0,0,0,0
2013-06-10,79,50,64.5,0.9,0,0,0,0,0
2013-06-11,67,53,60,-3.9,5,0,0.86,0,0
2013-06-12,68,54,61,-3.3,4,0,0.46,0,0
2013-06-13,69,48,58.5,-6.1,6,0,0.06,0,0
2013-06-14,75,53,64,-0.9,1,0,0.56,0,0
2013-06-15,78,49,63.5,-1.7,1,0,0,0,0
2013-06-16,78,47,62.5,-3,2,0,T,0,0
2013-06-17,85,53,69,3.2,0,4,0.92,0,0
2013-06-18,69,53,61,-5.1,4,0,0.02,0,0
2013-06-19,76,51,63.5,-2.9,1,0,0,0,0
2013-06-20,77,45,61,-5.7,4,0,0,0,0
2013-06-21,84,51,67.5,0.5,0,3,0,0,0
2013-06-22,M,M,M,M,M,M,0,0,0
2013-06-23,89,53,71,3.4,0,6,0.03,0,0
2013-06-24,93,67,80,12.1,0,15,0,0,0
2013-06-25,91,65,78,9.9,0,13,0.72,0,0
2013-06-26,90,65,77.5,9.1,0,13,0.1,0,0
2013-06-27,72,57,64.5,-4.1,0,0,0.02,0,0
2013-06-28,71,55,63,-5.9,2,0,0.99,0,0
2013-06-29,85,65,75,5.9,0,10,0.02,0,0
2013-06-30,87,64,75.5,6.2,0,11,0,0,0
2013-07-01,85,66,75.5,6,0,11,0.53,0,0
2013-07-02,75,61,68,-1.7,0,3,0.66,0,0
2013-07-03,87,58,72.5,2.6,0,8,0.02,0,0
2013-07-04,93,67,80,10,0,15,0,0,0
2013-07-05,93,71,82,11.8,0,17,0,0,0
2013-07-06,93,71,82,11.6,0,17,0,0,0
2013-07-07,90,65,77.5,7,0,13,0,0,0
2013-07-08,87,70,78.5,7.9,0,14,0.06,0,0
2013-07-09,72,63,67.5,-3.2,0,3,0.02,0,0
2013-07-10,77,62,69.5,-1.3,0,5,0.03,0,0
2013-07-11,84,69,76.5,5.6,0,12,0.29,0,0
2013-07-12,78,65,71.5,0.5,0,7,0,0,0
2013-07-13,78,60,69,-2.1,0,4,0,0,0
2013-07-14,87,63,75,3.9,0,10,0,0,0
2013-07-15,93,65,79,7.8,0,14,0,0,0
2013-07-16,92,66,79,7.8,0,14,0,0,0
2013-07-17,93,66,79.5,8.3,0,15,0,0,0
2013-07-18,93,69,81,9.7,0,16,0.17,0,0
2013-07-19,96,68,82,10.7,0,17,0.06,0,0
2013-07-20,95,70,82.5,11.2,0,18,0,0,0
2013-07-21,83,62,72.5,1.2,0,8,0,0,0
